"date","coin_name","market_cap","market_share_percent"
2013-04-29,Bitcoin,1603768832,100.00
2013-04-30,Bitcoin,1542813184,100.00
2013-05-01,Bitcoin,1298954624,100.00
2013-05-02,Bitcoin,1168517504,100.00
2013-05-03,Bitcoin,1085995136,100.00
2013-05-04,Bitcoin,1250316544,100.00
2013-05-05,Bitcoin,1288693120,100.00
2013-05-06,Bitcoin,1249023104,100.00
2013-05-07,Bitcoin,1240593664,100.00
2013-05-08,Bitcoin,1264049152,100.00
2013-05-09,Bitcoin,1254535424,100.00
2013-05-10,Bitcoin,1305479040,100.00
2013-05-11,Bitcoin,1284207488,100.00
2013-05-12,Bitcoin,1281982592,100.00
2013-05-13,Bitcoin,1315709952,100.00
2013-05-14,Bitcoin,1243874432,100.00
2013-05-15,Bitcoin,1274623872,100.00
2013-05-16,Bitcoin,1325726848,100.00
2013-05-17,Bitcoin,1373723904,100.00
2013-05-18,Bitcoin,1379574528,100.00
2013-05-19,Bitcoin,1363204736,100.00
2013-05-20,Bitcoin,1363709952,100.00
2013-05-21,Bitcoin,1374013440,100.00
2013-05-22,Bitcoin,1385778944,100.00
2013-05-23,Bitcoin,1417769856,100.00
2013-05-24,Bitcoin,1491070720,100.00
2013-05-25,Bitcoin,1477958272,100.00
2013-05-26,Bitcoin,1495293056,100.00
2013-05-27,Bitcoin,1454029568,100.00
2013-05-28,Bitcoin,1446189952,100.00
2013-05-29,Bitcoin,1483734528,100.00
2013-05-30,Bitcoin,1445053952,100.00
2013-05-31,Bitcoin,1447870208,100.00
2013-06-01,Bitcoin,1451916160,100.00
2013-06-02,Bitcoin,1373837440,100.00
2013-06-03,Bitcoin,1373708032,100.00
2013-06-04,Bitcoin,1365337600,100.00
2013-06-05,Bitcoin,1368486528,100.00
2013-06-06,Bitcoin,1327960192,100.00
2013-06-07,Bitcoin,1255258624,100.00
2013-06-08,Bitcoin,1219717888,100.00
2013-06-09,Bitcoin,1126642560,100.00
2013-06-10,Bitcoin,1198638976,100.00
2013-06-11,Bitcoin,1227874688,100.00
2013-06-12,Bitcoin,1219969792,100.00
2013-06-13,Bitcoin,1173637376,100.00
2013-06-14,Bitcoin,1128709248,100.00
2013-06-15,Bitcoin,1129245568,100.00
2013-06-16,Bitcoin,1124306304,100.00
2013-06-17,Bitcoin,1149418496,100.00
2013-06-18,Bitcoin,1214216064,100.00
2013-06-19,Bitcoin,1224193792,100.00
2013-06-20,Bitcoin,1246104960,100.00
2013-06-21,Bitcoin,1239214208,100.00
2013-06-22,Bitcoin,1226110336,100.00
2013-06-23,Bitcoin,1218626432,100.00
2013-06-24,Bitcoin,1163935744,100.00
2013-06-25,Bitcoin,1178086144,100.00
2013-06-26,Bitcoin,1179105152,100.00
2013-06-27,Bitcoin,1150467968,100.00
2013-06-28,Bitcoin,1073887488,100.00
2013-06-29,Bitcoin,1078198528,100.00
2013-06-30,Bitcoin,1096957824,100.00
2013-07-01,Bitcoin,1000065280,100.00
2013-07-02,Bitcoin,1024082240,100.00
2013-07-03,Bitcoin,881233088,100.00
2013-07-04,Bitcoin,915618624,100.00
2013-07-05,Bitcoin,778411200,100.00
2013-07-06,Bitcoin,799741632,100.00
2013-07-07,Bitcoin,848838976,100.00
2013-07-08,Bitcoin,871457920,100.00
2013-07-09,Bitcoin,873841856,100.00
2013-07-10,Bitcoin,988957696,100.00
