"month_and_year","coin_name","avg_close","max_high","min_low","total_volume"
"2013-04",Bitcoin,141.77,147.488,134.0,0.0
"2013-05",Bitcoin,119.99,139.89,79.1,0.0
"2013-06",Bitcoin,107.76,129.78,88.5,0.0
"2013-07",Bitcoin,90.51,111.344,65.526,0.0
"2013-08",Bitcoin,113.91,140.89,101.211,0.0
"2013-09",Bitcoin,130.06,146.5,118.46,0.0
"2013-10",Bitcoin,158.31,217.42,102.25,0.0
"2013-11",Bitcoin,550.42,1156.14,201.65,0.0
"2013-12",Bitcoin,800.78,1156.12,420.51,139984784
"2013-12",Dogecoin,0.00,0.00151967,0.00011559,1730037.0
"2014-01",Bitcoin,844.17,1017.12,754.97,1153386368
"2014-01",Dogecoin,0.00,0.00233484,0.00020303,70131472
"2014-02",Bitcoin,661.62,853.52,420.41,1269686400
"2014-02",Dogecoin,0.00,0.00194449,0.00082274,86846488
"2014-03",Bitcoin,592.20,702.91,443.365,763979328
"2014-03",Dogecoin,0.00,0.00143294,0.00044324,51263364
"2014-04",Bitcoin,461.36,542.378,351.272,789304320
"2014-04",Dogecoin,0.00,0.0008031,0.00034078,43642752
"2014-05",Bitcoin,486.65,624.715,423.251,503299104
"2014-05",Dogecoin,0.00,0.00051167,0.00033425,19925464
"2014-06",Bitcoin,615.92,674.111,549.821,721873152
"2014-06",Dogecoin,0.00,0.00043455,0.0002596,16560118
"2014-07",Bitcoin,618.03,657.858,564.511,450725760
"2014-07",Dogecoin,0.00,0.00028712,0.00020024,9570679.0
"2014-08",Bitcoin,536.09,598.116,443.851,694524480
"2014-08",Dogecoin,0.00,0.00021417,0.00010349,7671978.0
"2014-09",Bitcoin,445.19,493.928,372.24,696572224
"2014-09",Dogecoin,0.00,0.00046734,0.00012694,42570876
"2014-10",Bitcoin,364.15,411.698,289.296,902994560
"2014-10",Dogecoin,0.00,0.00040564,0.00022279,18290368
"2014-11",Bitcoin,366.10,457.093,320.626,659733376
"2014-11",Dogecoin,0.00,0.00026501,0.0002037,31010358
"2014-12",Bitcoin,341.27,384.038,304.232,553102272
"2014-12",Dogecoin,0.00,0.00024448,0.00016741,13326038
"2015-01",Bitcoin,248.78,320.435,171.51,1098811904
"2015-01",Dogecoin,0.00,0.00018726,0.00011266,11717328
"2015-02",Bitcoin,234.15,265.611,212.015,711518656
"2015-02",Dogecoin,0.00,0.00015564,0.00013579,2703049.5
"2015-03",Bitcoin,269.04,300.044,236.515,959098304
"2015-03",Dogecoin,0.00,0.00017662,0.00012181,2394408.8
"2015-04",Bitcoin,235.49,261.798,214.874,672338752
"2015-04",Dogecoin,0.00,0.00013097,0.00009753,1487452.8
"2015-05",Bitcoin,237.00,247.804,228.573,568122624
"2015-05",Dogecoin,0.00,0.0002024,0.00008547,7439631.5
"2015-06",Bitcoin,238.08,267.867,221.296,629780224
"2015-06",Dogecoin,0.00,0.00023217,0.00013552,11208811
"2015-07",Bitcoin,279.56,314.394,253.505,999892288
"2015-07",Dogecoin,0.00,0.0002467,0.00016517,8322244.0
"2015-08",Bitcoin,250.73,285.715,199.567,905192256
"2015-08",Dogecoin,0.00,0.00018665,0.00011885,2717587.8
"2015-08",Ethereum,1.26,2.79881,0.629191,40210900
"2015-09",Bitcoin,233.60,259.182,225.117,603623936
"2015-09",Dogecoin,0.00,0.00013523,0.00011989,1872344.6
"2015-09",Ethereum,0.99,1.39274,0.557062,19920656
"2015-10",Bitcoin,264.86,334.169,235.616,953279552
"2015-10",Dogecoin,0.00,0.0001656,0.00011264,1953864.5
"2015-10",Ethereum,0.66,1.34505,0.420897,19815600
"2015-11",Bitcoin,348.88,495.562,300.997,2177623296
"2015-11",Dogecoin,0.00,0.0001668,0.00011896,3923361.8
