"date","coin_name","symbol","open_price","close_price","high_price","low_price","volume","market_cap"
2017-07-26,Binance Coin,BNB,0.105893,0.105138,0.109013,0.0992655,200395.0,10513800
2017-07-27,Binance Coin,BNB,0.105108,0.107737,0.108479,0.100888,344499.0,10773700
2017-07-28,Binance Coin,BNB,0.107632,0.104067,0.109019,0.101473,342568.0,10406700
2017-07-29,Binance Coin,BNB,0.104782,0.107811,0.111264,0.101108,340218.0,10781100
2017-07-30,Binance Coin,BNB,0.107935,0.106414,0.108138,0.103162,224261.0,10641400
2017-07-31,Binance Coin,BNB,0.106828,0.10425,0.108349,0.1016,240309.0,10425000
2017-08-01,Binance Coin,BNB,0.104595,0.0998668,0.106266,0.0961094,300413.0,9986680.0
2017-08-02,Binance Coin,BNB,0.0997212,0.100452,0.101211,0.0973612,256793.0,10045200
2017-08-03,Binance Coin,BNB,0.100328,0.106642,0.106978,0.0991197,293008.0,10664200
2017-08-04,Binance Coin,BNB,0.106685,0.107494,0.107756,0.102699,287621.0,10749400
2017-08-05,Binance Coin,BNB,0.107418,0.128871,0.144653,0.10707,542878.0,12887100
2017-08-06,Binance Coin,BNB,0.129293,0.130999,0.132988,0.12738,393681.0,13099900
2017-08-07,Binance Coin,BNB,0.133958,0.148848,0.149765,0.1333,748177.0,14884800
2017-08-08,Binance Coin,BNB,0.148998,0.224421,0.226925,0.147766,2617340.0,22442100
2017-08-09,Binance Coin,BNB,0.224748,0.242912,0.260625,0.222158,3075320.0,24291200
2017-08-10,Binance Coin,BNB,0.251827,0.349079,0.349976,0.245052,4118070.0,34907900
2017-08-11,Binance Coin,BNB,0.348785,0.392572,0.409654,0.311067,4413920.0,39257200
2017-08-12,Binance Coin,BNB,0.392193,0.446365,0.475992,0.337589,5080760.0,44636500
2017-08-13,Binance Coin,BNB,0.44599,0.876828,1.02264,0.44599,13852100,87682800
2017-08-14,Binance Coin,BNB,0.872918,1.29557,1.46339,0.735764,51698100,129557000
2017-08-15,Binance Coin,BNB,1.32709,1.05655,1.37892,0.923372,19824400,105655000
2017-08-16,Binance Coin,BNB,1.11969,1.43724,1.45272,1.07869,31363100,143724000
