"date","coin_name","close_price","daily_return_percent","log_return"
2017-07-27,Binance Coin,0.10773700,2.4720,0.024419
2017-07-28,Binance Coin,0.10406700,-3.4064,-0.034658
2017-07-29,Binance Coin,0.10781100,3.5977,0.035345
2017-07-30,Binance Coin,0.10641400,-1.2958,-0.013043
2017-07-31,Binance Coin,0.10425000,-2.0336,-0.020545
2017-08-01,Binance Coin,0.09986680,-4.2045,-0.042955
2017-08-02,Binance Coin,0.10045200,0.5860,0.005843
2017-08-03,Binance Coin,0.10664200,6.1621,0.059797
2017-08-04,Binance Coin,0.10749400,0.7989,0.007958
2017-08-05,Binance Coin,0.12887100,19.8867,0.181377
2017-08-06,Binance Coin,0.13099900,1.6513,0.016378
2017-08-07,Binance Coin,0.14884800,13.6253,0.127736
2017-08-08,Binance Coin,0.22442100,50.7719,0.410598
2017-08-09,Binance Coin,0.24291200,8.2394,0.079175
2017-08-10,Binance Coin,0.34907900,43.7060,0.362599
2017-08-11,Binance Coin,0.39257200,12.4594,0.117422
2017-08-12,Binance Coin,0.44636500,13.7027,0.128417
2017-08-13,Binance Coin,0.87682800,96.4374,0.675174
2017-08-14,Binance Coin,1.29557000,47.7565,0.390395
2017-08-15,Binance Coin,1.05655000,-18.4490,-0.203942
2017-08-16,Binance Coin,1.43724000,36.0314,0.307716
2017-08-17,Binance Coin,1.96715000,36.8700,0.313861
2017-08-18,Binance Coin,2.38400000,21.1906,0.192194
2017-08-19,Binance Coin,2.09337000,-12.1909,-0.130005
2017-08-20,Binance Coin,2.50258000,19.5479,0.178547
2017-08-21,Binance Coin,2.70111000,7.9330,0.076341
2017-08-22,Binance Coin,2.48527000,-7.9908,-0.083281
2017-08-23,Binance Coin,2.58043000,3.8290,0.037575
2017-08-24,Binance Coin,2.37932000,-7.7937,-0.081141
2017-08-25,Binance Coin,2.49687000,4.9405,0.048223
2017-08-26,Binance Coin,2.16936000,-13.1168,-0.140606
2017-08-27,Binance Coin,2.00519000,-7.5677,-0.078693
2017-08-28,Binance Coin,2.04290000,1.8806,0.018632
2017-08-29,Binance Coin,2.32758000,13.9351,0.130459
2017-08-30,Binance Coin,2.35005000,0.9654,0.009608
2017-08-31,Binance Coin,2.20379000,-6.2237,-0.064258
2017-09-01,Binance Coin,2.38417000,8.1850,0.078672
2017-09-02,Binance Coin,1.99268000,-16.4204,-0.179371
2017-09-03,Binance Coin,1.57580000,-20.9206,-0.234717
2017-09-04,Binance Coin,1.04957000,-33.3945,-0.406383
2017-09-05,Binance Coin,0.97371600,-7.2272,-0.075016
2017-09-06,Binance Coin,1.08614000,11.5459,0.109266
2017-09-07,Binance Coin,1.36622000,25.7867,0.229418
2017-09-08,Binance Coin,1.00683000,-26.3054,-0.305241
2017-09-09,Binance Coin,0.98930100,-1.7410,-0.017563
2017-09-10,Binance Coin,0.94215900,-4.7652,-0.048825
2017-09-11,Binance Coin,1.02581000,8.8786,0.085064
2017-09-12,Binance Coin,1.03568000,0.9622,0.009576
2017-09-13,Binance Coin,0.93720400,-9.5083,-0.099913
2017-09-14,Binance Coin,0.67878400,-27.5735,-0.322598
2017-09-15,Binance Coin,0.79970900,17.8149,0.163945
2017-09-16,Binance Coin,0.80419800,0.5613,0.005598
2017-09-17,Binance Coin,0.78958900,-1.8166,-0.018333
2017-09-18,Binance Coin,0.90920200,15.1488,0.141055
2017-09-19,Binance Coin,0.80242500,-11.7440,-0.124929
2017-09-20,Binance Coin,0.74789000,-6.7963,-0.070382
2017-09-21,Binance Coin,0.70214000,-6.1172,-0.063123
2017-09-22,Binance Coin,0.71589300,1.9587,0.019398
2017-09-23,Binance Coin,0.77096500,7.6928,0.074112
2017-09-24,Binance Coin,0.78326800,1.5958,0.015832
2017-09-25,Binance Coin,0.91705900,17.0811,0.157697
2017-09-26,Binance Coin,0.86074700,-6.1405,-0.063371
2017-09-27,Binance Coin,1.14366000,32.8683,0.284188
2017-09-28,Binance Coin,1.37788000,20.4799,0.186312
2017-09-29,Binance Coin,1.26624000,-8.1023,-0.084494
2017-09-30,Binance Coin,1.28358000,1.3694,0.013601
2017-10-01,Binance Coin,1.52653000,18.9275,0.173344
2017-10-02,Binance Coin,1.96467000,28.7017,0.252327
2017-10-03,Binance Coin,1.82070000,-7.3279,-0.076103
2017-10-04,Binance Coin,1.60148000,-12.0404,-0.128293
2017-10-05,Binance Coin,1.67849000,4.8087,0.046966
2017-10-06,Binance Coin,1.57991000,-5.8731,-0.060527
2017-10-07,Binance Coin,1.58425000,0.2747,0.002743
2017-10-08,Binance Coin,1.21723000,-23.1668,-0.263533
2017-10-09,Binance Coin,1.40378000,15.3258,0.142591
2017-10-10,Binance Coin,1.39336000,-0.7423,-0.007451
2017-10-11,Binance Coin,1.43373000,2.8973,0.028561
2017-10-12,Binance Coin,1.34376000,-6.2752,-0.064808
2017-10-13,Binance Coin,1.43548000,6.8256,0.066028
2017-10-14,Binance Coin,1.53819000,7.1551,0.069107
2017-10-15,Binance Coin,1.55844000,1.3165,0.013079
2017-10-16,Binance Coin,1.44070000,-7.5550,-0.078556
2017-10-17,Binance Coin,1.38995000,-3.5226,-0.035861
2017-10-18,Binance Coin,1.32756000,-4.4887,-0.045925
2017-10-19,Binance Coin,1.28461000,-3.2353,-0.032888
2017-10-20,Binance Coin,1.24192000,-3.3232,-0.033797
2017-10-21,Binance Coin,1.25405000,0.9767,0.009720
2017-10-22,Binance Coin,1.21377000,-3.2120,-0.032647
2017-10-23,Binance Coin,1.18373000,-2.4749,-0.025061
2017-10-24,Binance Coin,1.24843000,5.4658,0.053216
2017-10-25,Binance Coin,1.25278000,0.3484,0.003478
2017-10-26,Binance Coin,1.20860000,-3.5266,-0.035902
2017-10-27,Binance Coin,1.17418000,-2.8479,-0.028893
2017-10-28,Binance Coin,1.15257000,-1.8404,-0.018576
2017-10-29,Binance Coin,1.24123000,7.6924,0.074109
2017-10-30,Binance Coin,1.31227000,5.7234,0.055656
2017-10-31,Binance Coin,1.31289000,0.0472,0.000472
2017-11-01,Binance Coin,1.26154000,-3.9112,-0.039898
2017-11-02,Binance Coin,1.29963000,3.0193,0.029746
2017-11-03,Binance Coin,1.45922000,12.2796,0.115822
2017-11-04,Binance Coin,1.63720000,12.1969,0.115085
2017-11-05,Binance Coin,1.52166000,-7.0572,-0.073186
2017-11-06,Binance Coin,1.56979000,3.1630,0.031140
2017-11-07,Binance Coin,1.80644000,15.0753,0.140416
2017-11-08,Binance Coin,2.03102000,12.4322,0.117180
2017-11-09,Binance Coin,1.99077000,-1.9818,-0.020017
2017-11-10,Binance Coin,1.79684000,-9.7415,-0.102492
2017-11-11,Binance Coin,1.67047000,-7.0329,-0.072925
2017-11-12,Binance Coin,1.51969000,-9.0262,-0.094599
2017-11-13,Binance Coin,1.68662000,10.9845,0.104220
2017-11-14,Binance Coin,1.59258000,-5.5756,-0.057371
2017-11-15,Binance Coin,1.53045000,-3.9012,-0.039794
2017-11-16,Binance Coin,1.57792000,3.1017,0.030546
2017-11-17,Binance Coin,1.51036000,-4.2816,-0.043759
2017-11-18,Binance Coin,1.67433000,10.8564,0.103065
2017-11-19,Binance Coin,1.61377000,-3.6170,-0.036840
2017-11-20,Binance Coin,1.62445000,0.6618,0.006596
2017-11-21,Binance Coin,1.57406000,-3.1020,-0.031511
2017-11-22,Binance Coin,1.61175000,2.3944,0.023662
2017-11-23,Binance Coin,1.54870000,-3.9119,-0.039905
2017-11-24,Binance Coin,1.71771000,10.9130,0.103576
2017-11-25,Binance Coin,1.87387000,9.0912,0.087014
2017-11-26,Binance Coin,1.85313000,-1.1068,-0.011130
2017-11-27,Binance Coin,1.94298000,4.8486,0.047347
2017-11-28,Binance Coin,1.91711000,-1.3315,-0.013404
2017-11-29,Binance Coin,1.75153000,-8.6370,-0.090329
2017-11-30,Binance Coin,1.99697000,14.0129,0.131141
2017-12-01,Binance Coin,2.07023000,3.6686,0.036029
2017-12-02,Binance Coin,2.08416000,0.6729,0.006706
2017-12-03,Binance Coin,2.22725000,6.8656,0.066402
2017-12-04,Binance Coin,2.49168000,11.8725,0.112190
2017-12-05,Binance Coin,2.59530000,4.1586,0.040745
2017-12-06,Binance Coin,2.58769000,-0.2932,-0.002937
2017-12-07,Binance Coin,2.77995000,7.4298,0.071667
2017-12-08,Binance Coin,2.83067000,1.8245,0.018080
2017-12-09,Binance Coin,2.61043000,-7.7805,-0.080998
2017-12-10,Binance Coin,2.48337000,-4.8674,-0.049898
2017-12-11,Binance Coin,2.70665000,8.9910,0.086095
2017-12-12,Binance Coin,2.68475000,-0.8091,-0.008124
2017-12-13,Binance Coin,2.77810000,3.4770,0.034180
2017-12-14,Binance Coin,3.15874000,13.7015,0.128406
2017-12-15,Binance Coin,3.99615000,26.5109,0.235158
2017-12-16,Binance Coin,4.66465000,16.7286,0.154681
2017-12-17,Binance Coin,5.75672000,23.4116,0.210355
2017-12-18,Binance Coin,5.61585000,-2.4471,-0.024775
2017-12-19,Binance Coin,5.79233000,3.1425,0.030942
2017-12-20,Binance Coin,5.17621000,-10.6368,-0.112462
2017-12-21,Binance Coin,5.18001000,0.0734,0.000734
2017-12-22,Binance Coin,4.33615000,-16.2907,-0.177820
2017-12-23,Binance Coin,4.83926000,11.6027,0.109775
2017-12-24,Binance Coin,5.28568000,9.2250,0.088239
2017-12-25,Binance Coin,6.56001000,24.1091,0.215991
2017-12-26,Binance Coin,9.02942000,37.6434,0.319496
2017-12-27,Binance Coin,10.10700000,11.9341,0.112740
2017-12-28,Binance Coin,9.32141000,-7.7727,-0.080914
2017-12-29,Binance Coin,8.80760000,-5.5121,-0.056699
2017-12-30,Binance Coin,7.84101000,-10.9745,-0.116247
2017-12-31,Binance Coin,8.63558000,10.1335,0.096523
2018-01-01,Binance Coin,8.41461000,-2.5588,-0.025921
2018-01-02,Binance Coin,8.83777000,5.0289,0.049065
2018-01-03,Binance Coin,9.53588000,7.8992,0.076027
2018-01-04,Binance Coin,9.21399000,-3.3756,-0.034339
2018-01-05,Binance Coin,14.91720000,61.8973,0.481792
2018-01-06,Binance Coin,22.75980000,52.5742,0.422481
2018-01-07,Binance Coin,18.65680000,-18.0274,-0.198785
2018-01-08,Binance Coin,18.26090000,-2.1220,-0.021449
2018-01-09,Binance Coin,17.41180000,-4.6498,-0.047614
2018-01-10,Binance Coin,17.39080000,-0.1206,-0.001207
2018-01-11,Binance Coin,21.04270000,20.9990,0.190612
2018-01-12,Binance Coin,22.31630000,6.0525,0.058764
2018-01-13,Binance Coin,22.17440000,-0.6359,-0.006379
2018-01-14,Binance Coin,20.77730000,-6.3005,-0.065077
2018-01-15,Binance Coin,19.56470000,-5.8362,-0.060134
2018-01-16,Binance Coin,13.89190000,-28.9951,-0.342421
2018-01-17,Binance Coin,14.20320000,2.2409,0.022161
2018-01-18,Binance Coin,14.28040000,0.5435,0.005421
2018-01-19,Binance Coin,14.94060000,4.6231,0.045194
2018-01-20,Binance Coin,16.19030000,8.3645,0.080330
2018-01-21,Binance Coin,14.06830000,-13.1066,-0.140488
2018-01-22,Binance Coin,13.01460000,-7.4899,-0.077852
2018-01-23,Binance Coin,13.09350000,0.6062,0.006044
2018-01-24,Binance Coin,13.62870000,4.0875,0.040062
2018-01-25,Binance Coin,13.22840000,-2.9372,-0.029812
2018-01-26,Binance Coin,13.21820000,-0.0771,-0.000771
2018-01-27,Binance Coin,13.25300000,0.2633,0.002629
2018-01-28,Binance Coin,13.54020000,2.1671,0.021439
2018-01-29,Binance Coin,12.76450000,-5.7289,-0.058995
2018-01-30,Binance Coin,11.25070000,-11.8595,-0.126238
2018-01-31,Binance Coin,11.14500000,-0.9395,-0.009439
2018-02-01,Binance Coin,9.51584000,-14.6179,-0.158033
2018-02-02,Binance Coin,9.65229000,1.4339,0.014237
2018-02-03,Binance Coin,9.74968000,1.0090,0.010039
2018-02-04,Binance Coin,8.45864000,-13.2419,-0.142046
2018-02-05,Binance Coin,6.70503000,-20.7316,-0.232330
2018-02-06,Binance Coin,8.28885000,23.6214,0.212053
